Titles,Rating,RTCritic,RTFan,IMDb,Metacritic,BoxOffice,Year,Action,Animation,Family,Scifi,Comedy,Drama,International,Romance,Horror,Mystery,Documentary
The Hobbit: The Battle of the Five Armies,R,60,75,7.4,59,255119788,2014,1,0,0,1,0,0,0,0,0,0,0
Birdman,R,92,77,7.8,88,42340598,2014,0,0,0,0,1,1,0,0,0,0,0
Top Five,R,86,64,6.4,81,25317379,2014,0,0,0,0,1,0,0,0,0,0,0
Paddington,PG,98,80,7.2,77,76223578,2014,0,0,1,0,1,0,0,0,0,0,0
Winter's Tale,PG13,13,43,6.2,31,12600231,2014,0,0,0,1,0,1,0,0,0,1,0
The Amazing Spider-Man 2,PG13,52,64,6.7,53,202853933,2014,1,0,0,1,0,1,0,0,0,0,0
Sex Tape,R,17,33,5.1,36,38543473,2014,0,0,0,0,1,0,0,0,0,0,0
The Maze Runner,PG13,65,68,6.8,57,102427862,2014,1,0,0,1,0,0,0,0,0,1,0
Transformers: Age of Extinction,PG13,18,51,5.7,32,245439076,2014,1,0,0,1,0,0,0,0,0,0,0
The Expendables 3,PG13,32,49,6.1,35,39322544,2014,1,0,0,0,0,0,0,0,0,0,0
If I Stay,PG13,35,61,6.8,46,50474843,2014,0,0,0,0,0,1,0,0,0,0,0
Wild,R,90,75,7.1,76,37880356,2014,0,0,0,0,0,1,0,0,0,0,0
The Assassin,NR,80,48,6.3,80,632542,2015,1,0,0,0,0,1,1,0,0,0,0
Tomorrowland,PG,50,49,6.5,60,93436322,2015,0,0,0,1,0,0,0,0,0,0,0
We Are Your Friends,R,40,42,6.2,46,3591417,2015,0,0,0,0,0,1,0,0,0,0,0
Cinderella,PG,83,78,7,67,201151353,2015,0,0,1,1,0,0,0,1,0,0,0
The Revenant,R,80,84,8,76,183637894,2015,1,0,0,0,0,1,0,0,0,0,0
Love the Coopers,PG13,19,36,5.7,31,26302731,2015,0,0,0,0,1,0,0,0,0,0,0
The Transporter Refueled,PG13,15,30,5.1,32,16029670,2015,1,0,0,0,0,0,0,0,0,0,0
Max,PG,35,70,6.8,47,42656255,2015,1,0,0,0,0,0,0,0,0,0,0
Strangerland,R,39,24,5.2,42,17472,2015,0,0,0,0,0,1,0,0,0,1,0
Unfinished Business,R,11,26,5.4,32,10219501,2015,0,0,0,0,1,0,0,0,0,0,0
While We're Young,R,84,51,6.3,77,7582065,2015,0,0,0,0,1,1,0,0,0,0,0
Black Mass,R,73,68,6.9,68,62575678,2015,0,0,0,0,0,1,0,0,0,0,0
Focus,R,56,53,6.6,56,53862963,2015,0,0,0,0,1,1,0,0,0,0,0
The Gift,R,92,75,7.1,77,43787265,2015,0,0,0,0,0,0,0,0,0,1,0
Furious 7,PG13,80,82,7.2,67,351032910,2015,1,0,0,0,0,0,0,0,0,1,0
Miracles from Heaven,PG,43,81,7,44,61705123,2016,0,0,0,0,0,1,0,0,0,0,0
Eddie the Eagle,PG13,81,82,7.4,54,15789389,2016,0,0,0,0,0,1,0,0,0,0,0
Ben-Hur,PG13,25,53,5.7,38,26410477,2016,0,0,0,0,0,1,0,0,0,0,0
